etime;mysql_17_threads;mysql_17_conns;localhost_processload_mysql_26;mysql_17_vmswap;mysql_19_questions;mysql_17_vmsize;mysql_19_processes;mysql_17_vmdata;mysql_17_vmstk;mysql_17_vmrss
1286845200; 1.7000000000e+01; 0.0000000000e+00; 9.6655555556e-02; 4.0724070400e+08; 9.5292222222e-01; 7.6417024000e+08; 8.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5692953600e+08
1286845500; 1.6003333333e+01; 0.0000000000e+00; 2.3287777778e-01; 4.0725703339e+08; 1.0330666667e+00; 7.6417024000e+08; 7.0033333333e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691320661e+08
1286845800; 1.6000000000e+01; 0.0000000000e+00; 1.2370000000e-01; 4.0725708800e+08; 2.6512555556e+00; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286846100; 1.6000000000e+01; 0.0000000000e+00; 9.3124289406e-02; 4.0725708800e+08; 7.8036164636e-01; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286846400; 1.6000000000e+01; 0.0000000000e+00; 9.3641336756e-02; 4.0725708800e+08; 8.2906247106e-01; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286846700; 1.6000000000e+01; 0.0000000000e+00; 1.2323437384e-01; 4.0725708800e+08; 1.7568981048e+00; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286847000; 1.6000000000e+01; 0.0000000000e+00; 1.1668888889e-01; 4.0725708800e+08; 1.8962111111e+00; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286847300; 1.6000000000e+01; 0.0000000000e+00; 1.1628036176e-01; 4.0725708800e+08; 2.0129002953e+00; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286847600; 1.6993333333e+01; 0.0000000000e+00; 1.4695133650e-01; 4.0725708800e+08; 4.0299436660e+00; 7.6417024000e+08; 7.9933333333e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286847900; 1.7000000000e+01; 0.0000000000e+00; 1.0347941286e-01; 4.0725708800e+08; 1.4320671498e+00; 7.6417024000e+08; 8.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286848200; 1.7000000000e+01; 0.0000000000e+00; 9.3057622739e-02; 4.0725708800e+08; 1.0941242894e+00; 7.6417024000e+08; 8.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286848500; 1.7000000000e+01; 0.0000000000e+00; 9.3641336756e-02; 4.0725708800e+08; 8.0461123642e-01; 7.6417024000e+08; 8.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286848800; 1.7000000000e+01; 0.0000000000e+00; 1.0330104051e-01; 4.0725708800e+08; 1.0458533631e+00; 7.6417024000e+08; 8.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286849100; 1.7000000000e+01; 0.0000000000e+00; 1.1662222222e-01; 4.0725708800e+08; 1.5483222222e+00; 7.6417024000e+08; 8.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286849400; 1.7000000000e+01; 0.0000000000e+00; 1.2290273164e-01; 4.0725708800e+08; 2.6243139535e+00; 7.6417024000e+08; 8.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286849700; 1.6006666667e+01; 0.0000000000e+00; 1.4699563328e-01; 4.0725708800e+08; 1.6620009852e+00; 7.6417024000e+08; 7.0066666667e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286850000; 1.6996666667e+01; 0.0000000000e+00; 5.0546830175e-01; 4.0724484096e+08; 1.3975295058e+00; 7.6417024000e+08; 7.9966666667e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5692539904e+08
1286850300; 1.7000000000e+01; 0.0000000000e+00; 2.7078888889e-01; 4.0724480000e+08; 3.9082666667e+00; 7.6417024000e+08; 8.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5692544000e+08
1286850600; 1.7000000000e+01; 0.0000000000e+00; 1.4375555556e-01; 4.0724480000e+08; 2.5977444444e+00; 7.6417024000e+08; 8.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5692544000e+08
1286850900; 1.7000000000e+01; 0.0000000000e+00; 9.0177777778e-02; 4.0724480000e+08; 9.0564444444e-01; 7.6417024000e+08; 8.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5692544000e+08
1286851200; 1.7000000000e+01; 0.0000000000e+00; 2.3950000000e-01; 4.0724480000e+08; 2.6807111111e+00; 7.6417024000e+08; 8.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5692544000e+08
1286851500; 1.7000000000e+01; 0.0000000000e+00; 9.3513178295e-02; 4.0724480000e+08; 8.3012942045e-01; 7.6417024000e+08; 8.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5692544000e+08
1286851800; 1.6006666667e+01; 0.0000000000e+00; 9.6963521817e-02; 4.0725700608e+08; 1.0021483202e+00; 7.6417024000e+08; 7.0066666667e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691323392e+08
1286852100; 1.6000000000e+01; 0.0000000000e+00; 9.0023299889e-02; 4.0725708800e+08; 8.3390003716e-01; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286852400; 1.6000000000e+01; 0.0000000000e+00; 9.9966666667e-02; 4.0725708800e+08; 9.4961111111e-01; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286852700; 1.6000000000e+01; 0.0000000000e+00; 1.2325555556e-01; 4.0725708800e+08; 1.9034777778e+00; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286853000; 1.6000000000e+01; 0.0000000000e+00; 1.4658888889e-01; 4.0725708800e+08; 3.8734222222e+00; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5691315200e+08
1286853300; 1.6000000000e+01; 0.0000000000e+00; 1.3955865633e-01; 4.0726117035e+08; 2.5327450720e+00; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5690906965e+08
1286853600; 1.6000000000e+01; 0.0000000000e+00; 1.0391796946e-01; 4.0726118400e+08; 1.5118382056e+00; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5690905600e+08
1286853900; 1.6000000000e+01; 0.0000000000e+00; 1.7974559643e-01; 4.0726118400e+08; 2.8720945002e+00; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5690905600e+08
1286854200; 1.6000000000e+01; 0.0000000000e+00; 1.1268333333e+00; 4.0726118400e+08; 1.3351555556e+00; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5690905600e+08
1286854500; 1.6000000000e+01; 0.0000000000e+00; 9.3466666667e-02; 4.0726118400e+08; 7.9844444444e-01; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5690905600e+08
1286854800; 1.6000000000e+01; 0.0000000000e+00; 1.7305555556e-01; 4.0726118400e+08; 4.6604111111e+00; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5690905600e+08
1286855100; 1.6000000000e+01; 0.0000000000e+00; 1.6282583979e-01; 4.0726118400e+08; 3.4459653747e+00; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5690905600e+08
1286855400; 1.6000000000e+01; 0.0000000000e+00; 2.0041637500e-01; 4.0726525269e+08; 4.2620538747e+00; 7.6417024000e+08; 7.0000000000e+00; 7.3044377600e+08; 8.6016000000e+04; 3.5690498731e+08
