etime;localhost_mem_swap_4;localhost_mem_buffers_3;localhost_proc_7;localhost_processload_total_29;localhost_traffic_eth0_22;localhost_load_1min_44
1289035500; 4.0285120000e+06; 9.4338552000e+05; 2.3494333333e+02; 2.9681346459e+01; -nan 8.2089271042e+05; 1.1966666667e-01 2.7016666667e-01 3.7016666667e-01
1289035800; 4.0285120000e+06; 8.5716962667e+05; 2.4294666667e+02; 4.1686184570e+01; -nan 2.6088157039e+05; 3.6833333333e-01 3.2960000000e-01 3.6006666667e-01
1289036100; 4.0285120000e+06; 1.0693202933e+06; 2.3108000000e+02; 2.3429733333e+01; -nan 1.1113795249e+06; 6.2066666667e-02 2.1080000000e-01 3.0040000000e-01
1289036400; 4.0285120000e+06; 1.4432360800e+06; 2.3596666667e+02; 1.9429355556e+01; -nan 3.3261004580e+05; 2.7853333333e-01 1.7026666667e-01 2.5033333333e-01
1289036700; 4.0285120000e+06; 1.2899654400e+06; 2.2308666667e+02; 2.3674666667e+01; -nan 2.5388321827e+05; 2.3033333333e-01 1.7000000000e-01 2.2020000000e-01
1289037000; 4.0285120000e+06; 1.3526085600e+06; 2.2498666667e+02; 2.1074311111e+01; -nan 3.2806394053e+05; 3.3926666667e-01 1.8986666667e-01 2.0013333333e-01
1289037300; 4.0285120000e+06; 1.1784676000e+06; 2.3990000000e+02; 2.4694647566e+01; -nan 2.6099499902e+05; 4.2000000000e-02 1.5026666667e-01 1.8013333333e-01
1289037600; 4.0285120000e+06; 1.4715199733e+06; 2.3202666667e+02; 2.1446162106e+01; -nan 2.5472223985e+05; 2.5926666667e-01 1.6993333333e-01 1.7003333333e-01
1289037900; 4.0285120000e+06; 1.4171952000e+06; 2.3498000000e+02; 2.1569101440e+01; -nan 2.0202738280e+05; 6.1333333333e-02 1.6006666667e-01 1.7000000000e-01
1289038200; 4.0285120000e+06; 1.2948267733e+06; 2.2804666667e+02; 2.3093111111e+01; -nan 2.6215611547e+05; 1.7920000000e-01 1.5006666667e-01 1.6006666667e-01
1289038500; 4.0285120000e+06; 1.3221749600e+06; 2.2104666667e+02; 2.0480933333e+01; -nan 1.7040422878e+05; 4.0933333333e-02 1.2020000000e-01 1.5006666667e-01
1289038800; 4.0285120000e+06; 1.4165439200e+06; 2.4682666667e+02; 3.8763467930e+01; -nan 1.0990805749e+05; 3.0066666667e-02 1.5973333333e-01 1.5993333333e-01
1289039100; 4.0285120000e+06; 1.3843019467e+06; 2.3902666667e+02; 2.3321160272e+01; -nan 1.4048682770e+05; 2.0033333333e-02 1.0020000000e-01 1.4006666667e-01
1289039400; 4.0285120000e+06; 1.3618141867e+06; 2.3602000000e+02; 2.0945361467e+01; -nan 1.6155526638e+05; 1.4913333333e-01 1.3973333333e-01 1.4993333333e-01
1289039700; 4.0285120000e+06; 1.4271011467e+06; 2.4696333333e+02; 2.2923794584e+01; -nan 3.0028932476e+05; 1.3006666667e-01 1.6990000000e-01 1.5996666667e-01
