etime;jboss_16_threads;localhost_processload_jboss_27;jboss_16_vmstk;jboss_16_vmsize;jboss_16_conns;jboss_16_vmrss;jboss_16_vmswap;jboss_16_vmdata
1286853600; 2.9500000000e+02; 2.0398219239e-01; 8.6016000000e+04; 4.6972245333e+09; 0.0000000000e+00; 2.8240891631e+09; 1.8731353702e+09; 4.6329774080e+09
1286853900; 2.9400333333e+02; 2.0001337793e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8240895727e+09; 1.8731335953e+09; 4.6329774080e+09
1286854200; 2.9400000000e+02; 1.9335555556e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8240814353e+09; 1.8731417327e+09; 4.6329774080e+09
1286854500; 2.9499666667e+02; 1.9665555556e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8240854903e+09; 1.8731376777e+09; 4.6329774080e+09
1286854800; 2.9500000000e+02; 1.9334444444e-01; 8.6016000000e+04; 4.6973538031e+09; 0.0000000000e+00; 2.8262287360e+09; 1.8711250671e+09; 4.6329774080e+09
1286855100; 2.9599666667e+02; 2.1587146549e-01; 8.6016000000e+04; 4.6976359219e+09; 0.0000000000e+00; 2.8265420800e+09; 1.8710938419e+09; 4.6329774080e+09
1286855400; 2.9798666667e+02; 5.7949984629e-01; 8.6016000000e+04; 4.6977670622e+09; 0.0000000000e+00; 2.8365887078e+09; 1.8611783543e+09; 4.6329774080e+09
1286855700; 2.9600666667e+02; 2.0392208062e-01; 8.6016000000e+04; 4.6972249839e+09; 0.0000000000e+00; 2.8563861094e+09; 1.8408388745e+09; 4.6329774080e+09
1286856000; 2.9500666667e+02; 1.9735997067e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8763235942e+09; 1.8208995738e+09; 4.6329774080e+09
1286856300; 2.9599666667e+02; 2.3893355258e+00; 8.6016000000e+04; 4.6973538031e+09; 0.0000000000e+00; 2.8839154074e+09; 1.8134383957e+09; 4.6329774080e+09
1286856600; 2.9799333333e+02; 2.6391888889e+00; 8.6016000000e+04; 4.6975216162e+09; 0.0000000000e+00; 2.8927418914e+09; 1.8047797248e+09; 4.6329774080e+09
1286856900; 2.9700333333e+02; 2.0148888889e-01; 8.6016000000e+04; 4.6974282820e+09; 0.0000000000e+00; 2.9032098884e+09; 1.7942183936e+09; 4.6329774080e+09
1286857200; 2.9500666667e+02; 2.7555503138e+00; 8.6016000000e+04; 4.6974279680e+09; 0.0000000000e+00; 2.9170268023e+09; 1.7804011657e+09; 4.6329774080e+09
1286857500; 2.9500000000e+02; 2.0779201250e-01; 8.6016000000e+04; 4.6972245333e+09; 0.0000000000e+00; 2.9168491179e+09; 1.7803754155e+09; 4.6329774080e+09
1286857800; 2.9599666667e+02; 3.7272434039e-01; 8.6016000000e+04; 4.6974476971e+09; 0.0000000000e+00; 2.9170925568e+09; 1.7803551403e+09; 4.6329774080e+09
1286858100; 2.9500333333e+02; 2.6091888889e+00; 8.6016000000e+04; 4.6973545540e+09; 0.0000000000e+00; 2.9185834325e+09; 1.7787711215e+09; 4.6329774080e+09
1286858400; 2.9500000000e+02; 2.4505555556e+00; 8.6016000000e+04; 4.6973542400e+09; 0.0000000000e+00; 2.9267000388e+09; 1.7706542012e+09; 4.6329774080e+09
1286858700; 2.9500000000e+02; 2.2872111111e+00; 8.6016000000e+04; 4.6972236049e+09; 0.0000000000e+00; 2.9266291917e+09; 1.7705944132e+09; 4.6329774080e+09
1286859000; 2.9500000000e+02; 3.0242000000e+00; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.9588589909e+09; 1.7383641771e+09; 4.6329774080e+09
1286859300; 2.9400333333e+02; 2.3190333333e+00; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.9636533180e+09; 1.7335698500e+09; 4.6329774080e+09
1286859600; 2.9499666667e+02; 6.1901111111e-01; 8.6016000000e+04; 4.6973987089e+09; 0.0000000000e+00; 2.9789900390e+09; 1.7184086699e+09; 4.6329774080e+09
1286859900; 2.9500000000e+02; 5.4006555556e+00; 8.6016000000e+04; 4.6973543902e+09; 0.0000000000e+00; 3.0848801997e+09; 1.6124741905e+09; 4.6329774080e+09
1286860200; 2.9898666667e+02; 5.5495555556e+00; 8.6016000000e+04; 4.6972970871e+09; 0.0000000000e+00; 3.1235674112e+09; 1.5737296759e+09; 4.6329774080e+09
1286860500; 2.9800333333e+02; 3.8726666667e-01; 8.6016000000e+04; 4.6974275311e+09; 0.0000000000e+00; 3.1388533692e+09; 1.5585741619e+09; 4.6329774080e+09
1286860800; 2.9800000000e+02; 3.7786000000e+00; 8.6016000000e+04; 4.6975218620e+09; 0.0000000000e+00; 3.1460277589e+09; 1.5514941030e+09; 4.6329774080e+09
1286861100; 2.9700333333e+02; 4.1462222222e-01; 8.6016000000e+04; 4.6974486938e+09; 0.0000000000e+00; 3.1459862665e+09; 1.5514624273e+09; 4.6329774080e+09
1286861400; 2.9799666667e+02; 4.9282000000e+00; 8.6016000000e+04; 4.6975219302e+09; 0.0000000000e+00; 3.1204060638e+09; 1.5771158665e+09; 4.6329774080e+09
1286861700; 2.9600666667e+02; 5.2024666667e+00; 8.6016000000e+04; 4.6973547998e+09; 0.0000000000e+00; 3.1201776299e+09; 1.5771771699e+09; 4.6329774080e+09
1286862000; 2.9699666667e+02; 3.9150834256e-01; 8.6016000000e+04; 4.6974277222e+09; 0.0000000000e+00; 3.1202832930e+09; 1.5771444292e+09; 4.6329774080e+09
1286862300; 3.0296000000e+02; 2.5107524898e+00; 8.6016000000e+04; 4.6975215479e+09; 0.0000000000e+00; 3.1155314142e+09; 1.5819901338e+09; 4.6329774080e+09
1286862600; 3.0399666667e+02; 1.0017613898e+00; 8.6016000000e+04; 4.6977671168e+09; 0.0000000000e+00; 3.1158424371e+09; 1.5819246797e+09; 4.6329774080e+09
1286862900; 2.9802000000e+02; 6.8205222222e+00; 8.6016000000e+04; 4.6977679360e+09; 0.0000000000e+00; 3.1441138347e+09; 1.5536541013e+09; 4.6329774080e+09
1286863200; 3.0099000000e+02; 2.6540000000e+00; 8.6016000000e+04; 4.6975229952e+09; 0.0000000000e+00; 3.1439797726e+09; 1.5535432226e+09; 4.6329774080e+09
1286863500; 2.9801000000e+02; 2.3443222222e+00; 8.6016000000e+04; 4.6977671168e+09; 0.0000000000e+00; 3.1445423718e+09; 1.5532247450e+09; 4.6329774080e+09
1286863800; 2.9899666667e+02; 1.4213633333e+01; 8.6016000000e+04; 4.6975229952e+09; 0.0000000000e+00; 3.1497288363e+09; 1.5477941589e+09; 4.6329774080e+09
1286864100; 3.0199000000e+02; 2.4361888889e+00; 8.6016000000e+04; 4.6977671168e+09; 0.0000000000e+00; 3.1692720401e+09; 1.5284950767e+09; 4.6329774080e+09
1286864400; 3.0000666667e+02; 9.8852535622e+00; 8.6016000000e+04; 4.6975229952e+09; 0.0000000000e+00; 3.1646957158e+09; 1.5328272794e+09; 4.6329774080e+09
1286864700; 3.0397333333e+02; 7.2652436879e+00; 8.6016000000e+04; 4.6977662976e+09; 0.0000000000e+00; 3.1649405884e+09; 1.5328257092e+09; 4.6329774080e+09
1286865000; 3.0001333333e+02; 1.5392758305e+01; 8.6016000000e+04; 4.6977556890e+09; 0.0000000000e+00; 3.1646851482e+09; 1.5330705408e+09; 4.6329774080e+09
1286865300; 3.0199333333e+02; 2.8343444444e+01; 8.6016000000e+04; 4.6977556480e+09; 0.0000000000e+00; 3.1663172267e+09; 1.5314384213e+09; 4.6329774080e+09
